Geograghy,AllDeaths,Covid19Deaths,AllDeathsPer100k,Covid19DeathsPer100k,population,percentage_male,percentage_female,percentage_in_houshold,percentage_in_communal,population_density,EthnicWhiteUK,EthnicWhiteIrish,EthnicWhiteGypsy,EthnicWhiteOther,EthnicMixedWBC,EthnicMixedWBA,EthnicMixedWA,EthnicMixedOther,EthnicAsianBI,EthnicAsianBP,EthnicAsianBB,EthnicAsianBC,EthnicAsianOther,EthnicBlackAfrican,EthnicBlackCaribbean,EthnicBlackOther,EthnicArab,EthnicOther,CH4,CO2,HFC,N2O,NF3,PFC,SF6,CO,NMVOC,PM10,PM2.5
E07000149,30,3,24.191207,2.419121,124012,48.800000,51.200000,98.600000,1.400000,1.400000,95.200000,0.400000,0.100000,1.900000,0.300000,0.100000,0.300000,0.200000,0.300000,0.100000,0.000000,0.300000,0.300000,0.200000,0.100000,0.000000,0.100000,0.100000,2.077040,36.685945,2.398146,1.441920,0.000127,0.081606,0.053496,0.139443,0.092725,0.016692,0.008897
E07000150,33,5,53.873153,8.162599,61255,49.200000,50.800000,99.600000,0.400000,7.600000,85.000000,1.400000,0.000000,9.100000,0.400000,0.200000,0.400000,0.400000,0.600000,0.100000,0.200000,0.200000,0.300000,1.300000,0.200000,0.200000,0.000000,0.100000,0.306816,36.024981,1.821162,0.383851,0.000165,0.105780,0.053762,0.119188,0.085885,0.012833,0.009097
E07000151,27,10,34.685200,12.846370,77843,50.000000,50.000000,97.500000,2.500000,1.200000,93.100000,0.700000,0.100000,2.700000,0.500000,0.100000,0.400000,0.200000,0.700000,0.200000,0.100000,0.200000,0.300000,0.300000,0.300000,0.100000,0.000000,0.100000,0.946910,30.677258,1.777778,0.704173,0.000111,0.071302,0.041978,0.102678,0.069532,0.011851,0.007271
E07000152,21,8,24.203308,9.220308,86765,49.600000,50.400000,97.900000,2.100000,1.700000,93.500000,0.700000,0.100000,2.500000,0.400000,0.100000,0.300000,0.300000,0.600000,0.100000,0.000000,0.300000,0.300000,0.400000,0.200000,0.100000,0.000000,0.100000,0.895918,32.936882,1.975702,0.686916,0.000119,0.076406,0.045902,0.116810,0.075329,0.013454,0.007891
E07000153,39,15,41.722386,16.047071,93475,49.100000,50.900000,99.000000,1.000000,4.000000,89.300000,0.700000,0.200000,3.700000,0.400000,0.200000,0.400000,0.300000,1.900000,0.200000,0.100000,0.300000,0.700000,0.700000,0.200000,0.100000,0.200000,0.300000,0.592497,37.523307,2.239205,0.583373,0.000145,0.093486,0.053674,0.131386,0.085603,0.014670,0.009022
E07000154,31,9,14.617884,4.243902,212069,49.100000,50.900000,98.300000,1.700000,26.300000,76.600000,1.400000,0.100000,6.500000,1.500000,0.500000,0.600000,0.700000,2.500000,0.700000,1.600000,0.800000,0.900000,3.100000,1.400000,0.600000,0.300000,0.400000,0.808020,78.827220,4.854400,1.058663,0.000232,0.149106,0.096370,0.242205,0.149530,0.027999,0.017069
E07000155,85,37,99.778140,43.432838,85189,49.400000,50.600000,99.200000,0.800000,1.300000,94.100000,0.700000,0.000000,2.200000,0.300000,0.200000,0.400000,0.300000,0.700000,0.100000,0.100000,0.200000,0.300000,0.200000,0.200000,0.100000,0.000000,0.100000,1.101504,30.083514,1.908760,0.805045,0.000111,0.071181,0.043870,0.110202,0.072731,0.012689,0.007285
E07000156,27,10,35.829927,13.270343,75356,49.200000,50.800000,99.000000,1.000000,4.600000,81.300000,0.800000,0.100000,5.100000,1.600000,0.300000,0.500000,0.500000,4.100000,0.400000,0.700000,0.200000,0.500000,1.200000,1.900000,0.500000,0.100000,0.300000,0.434303,30.978821,1.802355,0.440220,0.000115,0.074041,0.042734,0.103958,0.068319,0.011758,0.007368
E07000163,29,9,52.338068,16.242849,55409,48.300000,51.700000,98.100000,1.900000,0.500000,95.400000,0.400000,0.100000,1.500000,0.200000,0.100000,0.300000,0.100000,0.300000,0.900000,0.100000,0.200000,0.300000,0.100000,0.000000,0.000000,0.000000,0.000000,1.192699,16.890919,1.057491,0.796368,0.000062,0.039740,0.023213,0.066431,0.045603,0.008061,0.004249
E07000164,19,10,21.314786,11.218308,89140,49.300000,50.700000,98.000000,2.000000,0.700000,96.300000,0.300000,0.100000,1.500000,0.200000,0.100000,0.300000,0.100000,0.200000,0.100000,0.000000,0.100000,0.200000,0.100000,0.000000,0.100000,0.100000,0.100000,2.505706,26.011852,1.687019,1.587410,0.000084,0.053972,0.051099,0.095203,0.070271,0.011946,0.006242
E07000165,44,14,27.871210,8.868112,157869,48.800000,51.200000,97.400000,2.600000,1.200000,91.700000,0.500000,0.100000,4.100000,0.300000,0.200000,0.400000,0.300000,0.400000,0.100000,0.000000,0.600000,0.500000,0.400000,0.100000,0.200000,0.100000,0.200000,2.348659,41.366403,3.192712,1.653089,0.000122,0.078138,0.062743,0.147693,0.098724,0.017709,0.009290
